Printing Matrix:
Row 10: 0.000049	-0.124805	-4.679931	-2.433187	104.083265	230.354106	15.250154	-387.061176	-565.484531	362.130088	1485.024451	549.872996	-491.709897	-611.683451	-345.092416	-69.406690	-0.000539	0.123752	-0.277258	-2.038966	29.475382	112.983411	65.838326	-98.777121	-19.193914	186.906510	241.793084	194.856278	92.011306	-47.646514	-91.046952	-25.817071	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000275	-0.000186	-0.680692	-8.733566	-18.105465	-6.357906	-0.163272	-0.014054	
Row 11: -0.000016	-0.146871	-9.331531	-60.350234	-57.085810	170.059504	262.173397	-24.148063	-474.610337	-622.271697	549.872996	1441.330005	687.293150	-253.278616	-378.712750	-92.971486	-0.002599	-0.570956	-4.163080	-9.091222	-12.268850	21.331834	105.183635	21.533585	-127.588340	17.194930	201.371894	191.593252	169.190290	120.299814	44.133109	3.706197	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000350	-0.017602	0.600178	6.888451	14.922836	6.231416	0.458367	0.000296	
Row 12: -0.000050	-0.054178	-4.908687	-46.647534	-106.166654	8.544872	241.158413	197.707656	-142.154257	-589.779402	-491.709897	687.293150	1427.505927	771.565413	-32.789156	-69.881029	-0.000860	-0.631984	-5.378232	-10.860772	-20.076655	-38.015152	33.138604	110.056193	-43.566741	-124.860672	83.779258	157.623932	122.656845	108.039821	78.316483	18.611113	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001743	-0.002342	0.925801	9.577982	20.309943	8.327964	0.577618	0.002991	
Row 13: -0.000087	0.019223	-0.153720	-14.510304	-71.568917	-80.722094	101.249842	231.837164	72.634543	-294.825111	-611.683451	-253.278616	771.565413	1390.861791	771.256523	78.309853	0.000708	-0.327860	-3.487464	-9.245863	-16.506368	-34.828155	-18.164366	81.512002	58.408421	-122.451532	-48.804607	110.729531	99.138095	67.764006	47.294647	11.469234	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001801	-0.004026	0.616678	5.460334	9.958606	4.060844	0.280454	-0.004703	
Row 14: -0.000052	0.034704	1.465567	2.368865	-27.567989	-72.272790	5.334815	142.029563	119.104442	-91.390671	-345.092416	-378.712750	-32.789156	771.256523	1155.958518	342.848061	0.000437	-0.059485	-1.101631	-4.528329	-9.150331	-16.883575	-20.958881	26.813165	65.839912	-48.019663	-85.521437	44.521804	71.340898	44.242065	24.754068	5.270351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001167	-0.009613	0.323775	1.876001	2.375989	0.546319	0.003804	-0.003844	
Row 15: -0.000000	0.011808	0.517550	1.920748	-3.683516	-17.237520	-5.750637	28.629749	34.975058	-8.463049	-69.406690	-92.971486	-69.881029	78.309853	342.848061	183.242200	-0.000160	0.017569	0.039275	-0.452295	-1.642019	-3.376547	-5.262884	2.316046	16.449776	-4.489289	-24.423734	5.000768	17.853334	11.412022	5.428924	1.027108	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000564	-0.001532	0.036177	0.162984	0.147462	-0.102715	-0.030977	-0.002631	
Row 16: -0.000000	0.000030	0.000963	0.004873	0.005285	-0.004001	-0.004823	-0.000251	0.001435	0.002812	-0.000539	-0.002599	-0.000860	0.000708	0.000437	-0.000160	0.000945	0.019086	0.027603	0.001661	-0.010867	-0.009289	-0.009650	-0.003874	0.007414	0.009961	-0.001009	-0.006445	-0.002470	0.003166	0.002701	0.000623	0.000000	0.000019	0.000516	0.001158	0.000835	0.005288	0.003538	-0.001255	0.005141	0.002937	-0.002583	-0.001922	0.000144	-0.000284	-0.000207	0.000522	0.000404	0.000000	-0.000152	-0.000875	-0.010226	-0.018774	-0.005918	-0.000581	-0.000018	
Row 17: -0.000000	0.004087	0.189874	1.035084	1.559784	-0.099352	-1.193582	-0.043864	0.451111	0.521577	0.123752	-0.570956	-0.631984	-0.327860	-0.059485	0.017569	0.019086	2.563865	11.990802	9.768417	-2.008054	-6.964443	-6.930834	-2.343743	3.026019	4.098994	0.438307	-1.972261	-1.513041	-0.321436	0.199548	0.082881	0.000000	0.026950	0.812652	2.330692	1.718914	0.974627	-0.053937	-1.531983	0.324308	1.307038	0.428343	-0.343460	-0.484036	-0.275989	-0.022516	0.076654	0.017587	-0.000070	-0.002918	-0.211931	-2.652334	-5.492303	-2.016246	-0.130092	-0.001994	
Row 18: -0.000010	0.009142	0.910421	6.315693	13.955253	9.487097	-8.121522	-2.954742	7.479803	4.669476	-0.277258	-4.163080	-5.378232	-3.487464	-1.101631	0.039275	0.027603	11.990802	109.163094	179.623070	43.196753	-102.020479	-120.054012	-42.320133	35.069932	59.656330	18.505947	-25.143981	-26.873884	-10.195153	0.141418	0.747666	0.000000	0.386784	12.992968	40.088129	31.498356	9.982369	-8.434269	-29.039888	-10.898983	18.782409	16.471465	-1.007288	-7.549839	-5.954665	-2.741779	-0.682905	-0.066318	-0.000746	-0.015993	-1.906890	-24.487942	-52.324898	-19.648139	-1.193892	-0.014748	
Row 19: -0.000027	-0.046130	-0.350302	4.770016	28.440129	51.682019	0.956707	-22.794627	19.643240	22.539079	-2.038966	-9.091222	-10.860772	-9.245863	-4.528329	-0.452295	0.001661	9.768417	179.623070	538.985442	403.843996	-203.790849	-452.991812	-206.727104	62.295713	185.513823	106.106160	-55.174776	-98.016250	-54.493555	-12.242323	0.000770	0.000000	0.939241	36.337151	125.073523	113.288255	41.923781	-19.982549	-94.188704	-76.015798	49.568284	82.388117	12.697762	-23.531099	-23.635048	-15.426435	-7.149651	-1.333869	-0.001017	-0.048510	-5.221706	-65.467494	-136.228499	-49.723253	-2.831605	-0.029811	
