0.421959	0.496040	0.079398	0.002603	0.000000	0.000000	0.000000	0.000000	0.000000	
0.015634	0.457071	0.456996	0.070298	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.105490	0.576836	0.315071	0.002603	0.000000	0.000000	0.000000	0.000000	
0.000000	0.003909	0.313834	0.611959	0.070298	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.070327	0.611999	0.315071	0.002603	0.000000	0.000000	0.000000	
0.000000	0.000000	0.002606	0.315137	0.611959	0.070298	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.070327	0.611999	0.315071	0.002603	0.000000	0.000000	
0.000000	0.000000	0.000000	0.002606	0.315137	0.611959	0.070298	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.070327	0.611999	0.313770	0.003904	0.000000	
0.000000	0.000000	0.000000	0.000000	0.002606	0.315137	0.576810	0.105448	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.070327	0.457066	0.456991	0.015616	
0.000000	0.000000	0.000000	0.000000	0.000000	0.002606	0.079456	0.496148	0.421791	
